Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Trello for Video Post Production,"Efficient project management and team communication are the keys to meeting the ever-shrinking deadlines of post-production. Trello is the perfect tool to coordinate editors, assistant editors, producers, vendors, and entire creative teams, whether located in the same physical space or scattered across the globe.<br><br>

<em>Trello for Video Post-Production</em> is a hands-on learning experience in using Trello, Google Drive, and Slack to build your post-production project management system from the ground up—all the way from planning to the delivery of your final masters. This system can apply to scripted projects, unscripted, documentary, reality, and almost any other kind of project imaginable. Filmmaker and professional editor Zack Arnold shows how to create boards and add new cards, attach documents, share media, assign due dates, and link to several different cloud-based storage solutions like Google Drive and Dropbox. Each step of the process is broken down in detail so you understand how to use Trello to its fullest potential. With these tips, you can finally achieve the dream of a post-production workflow that minimizes busywork, paperwork, and email and maximizes your time to be creative.",Course,2016-10-15 16:48 UTC,N/A,false,N/A,
Finance Foundations (2014),"At its core, finance is about deciding what to buy, getting the money you need to buy it, and efficiently managing your resources after making the purchase. In this course, Brigham Young University business professors Jim and Kay Stice provide a comprehensive overview of finance, and touch on everything from reading a balance sheet to understanding derivatives and securities. They tackle questions such as ""What is the difference between short-term financial management and long-term financing?"" and ""What is the difference between a traditional bank, an investment bank, and an investment fund?"" Along the way, you'll get a look at financial reports from companies such as Walmart and Toys ""R"" Us, and even analyze the data that go into personal financial decisions, such as deciding whether to buy a car and ensuring long-term financial success.",Course,2019-05-05 06:47 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2020-05-11 16:37 UTC,N/A,false,N/A,
Algorithmic Trading and Stocks Essential Training (2018),"Many stock market trades are now conducted with algorithms: computer programs that buy or sell stocks according to mathematical formulas. These trades are conducted at a speed and frequency that is hard for humans to replicate. Therefore, it's important for finance professionals, and indeed everyone who invests in the stock market, to know how these algorithms work. This course shows how to develop a back-tested, rules-based trading strategy and program a simple trading algorithm of your own.<br><br>

Professor Michael McDonald provides a brief primer on securities markets. He explains how data helps investors forecast performance and automate trading. Then he moves into the practical steps: coming up with algorithmic trading rules and developing and testing an algorithm. Finally, he shows how the algorithm can be applied and eventually expanded to other securities. Anyone working in financial services, or interested in investing in the stock market, will be able to use these tutorials to understand and develop simple trading algorithms of their own.",Course,2020-02-11 14:42 UTC,N/A,false,N/A,
Demystifying Agentic AI with ChatGPT: Elevate Your Skills and Unlock New Potential,"Explore the power of agentic AI in this course with instructor Jules White. Jules simplifies the concept of agentic AI, helping you understand how to interact with and harness these intelligent agents effectively. Imagine agents autonomously scheduling meetings, drafting tailored reports, or even managing customer inquiries—all while you focus on strategic tasks. Learn how these agents work and gain the fundamental knowledge to start building AI in a new way, revolutionizing your approach to productivity and innovation.",Course,2025-07-25 09:07 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2021-04-07 13:41 UTC,N/A,false,N/A,
AutoCAD: Construction Drawings (2017),"AutoCAD is a world leader in computer-aided design (CAD), and users around the world use this powerful software to communicate their design intent in many different disciplines. In this course, Shaun Bryant takes you through how to work with AutoCAD to create construction drawings that accurately communicate your design intent. Shaun explains how to use the tools and features within AutoCAD to develop drawings that clearly express the sizes of the objects you want to build. He covers how to develop a title block, set up attributes, set up layers to industry standards, develop plans and elevations, set up viewports, and more.",Course,2018-09-30 07:42 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:145425,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:145425,Course,2019-01-18 16:41 UTC,N/A,false,N/A,
Systems Thinking,"The situations and events that we deal with in our daily personal and work lives are complex, yet our thinking is often biased and simplistic. By adopting new ways of thinking that are more in tune with our adaptive, nonlinear world, we can achieve increased effectiveness and success in nearly all domains. In this course, learn the basic tenets of systems thinking, a more sophisticated way of looking at problems and organizing your thoughts. Instructor Derek Cabrera—a Cornell University professor specializing in systems thinking—lays out what systems thinking is, why it’s valuable, and how to do it. Learn all about the power of mapping in systems thinking and get examples of its real-life applications. Plus, learn how systems thinking can even help you boost your emotional intelligence.",Course,2021-06-30 18:58 UTC,N/A,false,N/A,
Project Management: Iterative Methods,"Agile project management allows you to produce smaller deliverables more frequently and efficiently, making it an excellent choice for teams that work in product development, programming, business analysis, and other collaborative areas. But it's a fragile process that requires the right scope, goals, and management. In this course, author and Project Management Professional Bob McGannon shows you the tools and techniques you need to successfully manage a project through the agile life cycle. Learn how to use agile for the right projects and then walk through the four major phases in the cycle, from scoping the work and designing your sprint structure to collecting requirements, managing the project without interfering in the rapid build process, adapting to feedback, and closing the project. In the bonus chapter, Bob discusses real-life challenges he has encountered running agile projects, giving you real-world perspective into the project life cycle.",Course,2016-10-17 15:10 UTC,2016-10-17 15:10 UTC,false,N/A,
Pre-investing: Before Investing in Real Estate,"New to real estate investing? Not sure where to start? There are over a dozen different ways to invest in real estate, from fix and flips to rentals, wholesaling, and lease options. But every good investment starts with preparation. In this course, real estate investor and consultant Symon He explains everything you need to know <em>before</em> you make your first investment. Learn how to develop an investment strategy, use comparable sales method to value property, and understand how a real estate market's different phases may impact you. With these tips, you can build the foundational knowledge you need to become an informed and profitable real estate investor.<br><br>

Note: This course uses data and example properties from the United States, but the concepts taught and tools provided are just as useful for any market.",Course,2020-08-06 22:09 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:118960,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:118960,Course,2016-08-03 01:35 UTC,N/A,false,N/A,
Excel: Tips and Tricks (2018),"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2020-11-06 15:02 UTC,N/A,false,N/A,
Project Management Simplified (2014),"Almost everything you do in the workplace is a project, from the smallest task to the largest endeavor. All of this work can benefit from some simple project-management techniques. In this course, management trainer Chris Croft outlines the twelve steps to managing projects without creating a lot of extra overhead, and shows how to use traditional PM tools—such as Gantt charts and network diagrams—to help you manage your workload.",Course,2016-11-13 05:09 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2020-12-30 15:27 UTC,N/A,false,N/A,
MYOB AccountRight: Reporting Necessities ,"Learn how to produce reports with MYOB. Elizabeth Haverfield walks you through the command centers and setting up tax codes, before moving into reporting preferences. Then learn about the most commonly used reports—trial balance, balance sheet, profit and loss, aged receivables and payables reconciliation, customer ledger, transaction journals receipts, and disbursements. Finally, learn to prepare GST reports and complete the ATO calculation worksheet.",Course,2016-06-05 14:48 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2020-12-08 07:41 UTC,N/A,false,N/A,
Photoshop 2021 New Features,"Photoshop 2021 is a big, ambitious update, packed with automated features, AI-enabled retouching filters, and time-saving innovations. In this course, expert Deke McClelland brings you up to speed with every single new feature in the software. Learn about the new Sky Replacement command, which lets you swap an ordinary sky for a more dramatic one. Discover Refine Hair, which turns a base selection into an impressive hair mask. Experiment with such practical and entertaining new filters as Skin Smoothing and Smart Portrait. Explore enhancements to Live Shapes, including on-canvas controls and a Line tool that draws open path outlines, complete with dynamic arrowheads. Learn how to review changes to collaborative cloud documents with the help of the powerful Version History panel. And that’s just the beginning. Check back for new videos every time Adobe releases an update.",Course,2021-12-30 15:57 UTC,N/A,false,N/A,
Cert Prep: Excel Expert - Microsoft Office Specialist for Office 2019 and Office 365,"Demonstrate your mastery of Excel by becoming a Microsoft Office Specialist (MOS) Expert. Get training to prepare for the MOS Excel Expert certification exam for Office 2019 and Office 365 (MO-201). This course, created by Certified MOS Master Instructor Jennifer McBee, helps you prepare for the four main areas of the exam: managing workbook options and settings, managing and formatting data, creating advanced formulas and macros, and managing advanced charts and tables. The course includes an overview of the new Office 365 and Office 2019 Microsoft Office Specialist Program, its costs, and all the exam objectives. Follow along with the downloadable sample files. Then take the full-length practice test at the end of the course to test your skills and speed.",Course,2019-08-31 02:11 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-10-11 19:14 UTC,N/A,false,N/A,
Marketing Tips Weekly,"Become more productive and boost the impact of your marketing efforts with Brad Batesole's weekly marketing tips on everything from social media to digital advertising to techniques and tools. Find  new and immediately actionable tips to help you build your community, track engagement, measure analytics, generate brand awareness, or help you accomplish other marketing goals. In addition to sharing from his bank of experience, Brad  answers questions submitted by our members. Use the tips to keep your marketing efforts fresh.",Course,2016-07-15 20:11 UTC,2016-06-02 06:47 UTC,true,N/A,
Magazine Design Start to Finish: The Cover,"Join John McWade as he takes you step by step through the process of magazine cover design to create designs that are attractive, logical, consistent, and appropriate. John begins by providing insights on the importance of type, as type serves as your cover's ""visible voice."" Next, he demonstrates how to gather your influences, design for a specific cover size and shape, and use different fonts for your cover's nameplate. John then shows a variety of layout options, including full bleeds, partial bleeds, and open space.",Course,2018-10-01 01:25 UTC,N/A,false,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2025-07-07 11:48 UTC,N/A,false,N/A,
AutoCAD 2020 Essential Training,"AutoCAD 2020 is a powerful designing and drafting software used to create precise 2D and 3D designs. In this course, instructor Shaun Bryant goes beyond the basics covered in Learning AutoCAD 2020, providing you with the information you need to use AutoCAD competently in any industry. Shaun demonstrates how to manage units and options; draw and modify objects; work with dimensioning techniques; and use attributes, tables, and external references (XREFs). Upon wrapping up this course, you'll have the skills you need to confidently use AutoCAD in the fields of architecture, engineering, construction, manufacturing, or product design.",Course,2021-05-13 09:23 UTC,N/A,true,N/A,
Drawing Vector Graphics: Hand Lettering,"Typography and lettering are distinct yet intimately interwoven art forms. While typography relies on established fonts, lettering relies on the hand of an artist. However, since hand lettering, like typography, is usually destined for print or the web, it's critical for illustrators to be able to transform their letterform drawings into pristine vector graphics. In this installment of <em>Drawing Vector Graphics</em>, Von Glitschka takes members through the entire creative process of hand lettering: starting with analog drawing tools, then using Adobe Illustrator to turn his drawings into vector graphics that can be further customized and scaled up or down. Von also introduces styling tips to create more compelling graphics and examples from some of the industry's best artists.",Course,2025-03-25 09:06 UTC,N/A,false,N/A,
New Manager Foundations (2013),"In this course, management and leadership expert Todd Dewett provides practical advice to help you establish your identity as a leader, connect with your team, and become a successful first-time manager. Learn how to survive your first 30 days, build trust, facilitate efficient meetings, and develop authority. This course is designed to prepare you to confidently tackle your responsibilities at work and increase your value to the organization while improving operational effectiveness<br><br>LinkedIn Learning (Lynda.com) is a PMI Registered Education Provider. This course qualifies for professional development units (PDUs). To view the activity and PDU details for this course, click <a href="" https://ccrs.pmi.org/search/Activity/214838"" target=""blank"">here</a>.<br><img src=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAEek_v1B9xtISnas4Pi7rm5RPg.jpg"" height=""50%"" width=""50%""><br>The PMI Registered Education Provider logo is a registered mark of the Project Management Institute, Inc.",Course,2016-08-01 17:27 UTC,N/A,false,N/A,
BASILE Studio: Designing Timeless Restaurants,"BASILE Studio builds restaurants, office spaces, and other high-end interiors that use classic materials—wood, glass, and steel—in high-tech ways. The results are unique and timeless—and surprisingly fast. By combining the design studio and the manufacturing arm of the business into a single seamless operation, BASILE Studio is able to offer clients the dream: custom design that's ready in a fraction of the normal time. In this short film, founder Paul Basile and his team reveal the ingredients that go into their compelling designs, and into the success of their firm. Get a tour of the factory floor, their state-of-the-art CNC tools, and their CAD-driven studio, and discover how rapid prototyping is transforming the future of interior design.",Course,2020-06-04 16:37 UTC,2020-06-04 16:37 UTC,false,N/A,
Organizing Your Remote Office for Maximum Productivity,"Working remotely gives you amazing freedom, but how you set up your office makes all the difference. To maximize your productivity, you need to be able to easily transition from home life to work life and back again. From setting up your physical space to managing your digital life, author and productivity expert Paula Rizzo can help you get more done when working remotely. Learn to harness your personal productivity style to create an intentional workspace; adapt any room, regardless of size; choose the right equipment and technology; present better during video meetings; organize your documents and files; and set boundaries with those you share space with. Plus, learn to plan ahead to take your workspace on the road—wherever business takes you.",Course,2021-03-31 08:10 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p>",Course,2024-08-24 07:27 UTC,N/A,false,N/A,
Succeeding as an LGBT Professional,"Even in places where discrimination is illegal, there are still nuances and complexities involved in being openly LGBT at work. In this course, best-selling business author, consultant, and educator Dorie Clark shows you how to navigate them with aplomb and build a successful and thriving career. Dorie discusses how to harness the benefits of your identity and identify and overcome any limiting beliefs you may hold. She goes over pros and cons of coming out in your job search or on the job. Dorie covers ways to handle well-meaning coworkers with grace and how to connect with other LGBT professionals. She shares strategies to overcome challenges such as a very conservative company or industry, hostile coworkers, or the complexities of coming out as transgender.",Course,2022-01-04 22:32 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling Gears,"Do you need to design and build gears for work, study, or a hobby? In this course, instructor Ryan Krawchuk covers the basics of mechanical gears, gives a hands-on lesson on modeling a spur gear using SOLIDWORKS, and then describes how to create a simple assembly. Ryan begins with a description of spur gears, helical gears, and others gears, as well as their respective applications. He covers key gear design attributes and nomenclature. Ryan steps you through spur gear equations, for both metric and English measurement systems, then goes through each step in modeling a spur gear. Once your gear model is complete, he shows you how to design the mounting plate that gears sit on, how to insert gears and mounting plates into your assembly, and how to use concentric and coincident gear mates. He discusses how to use a series of gear mates to allow gears to rotate dynamically to one another, then concludes by showing you how to animate your assembly with a SOLIDWORKS motion study.",Course,2021-05-28 22:09 UTC,N/A,false,N/A,
Power BI: Integrating AI and Machine Learning,"Power BI is a powerful data analytics and visualization tool that allows business users to monitor data, analyze trends, and make decisions. Every month, Microsoft pushes Power BI updates out to the end users, and the growth of Power BI is a key part of Microsoft’s current strategy. This course showcases existing AI and machine learning capabilities available directly in accessible Power BI functionalities. Data analytics and business analysis expert Helen Wall gives you a useful overview of Power BI, then dives into the steps to configure Power Query and your data model. Helen steps through analyzing single variables and shows you the tools and techniques to measure relationships between variables. She shows you visuals that you can use to pose and answer questions in Power BI, explains useful techniques to enhance your analysis of time series data, and walks you through some best practices for sharing your analysis.",Course,2021-09-22 14:22 UTC,N/A,false,N/A,
Excel 2016 Essential Training,"Start mastering Excel, the world's most popular and powerful spreadsheet program, with Excel expert Dennis Taylor. Learn how to best enter and organize data, perform calculations with simple functions, work with multiple worksheets, format the appearance of your data and cells, and build charts and PivotTables. Other lessons cover the powerful IF, VLOOKUP, and COUNTIF family of functions; the Goal Seek, Solver, and other data analysis tools; and automating tasks with macros.",Course,2016-06-15 01:13 UTC,N/A,false,N/A,
Social Selling with LinkedIn,"Technology like LinkedIn has fundamentally changed the way people communicate, and the way they buy and sell. Learn how to use LinkedIn to get in touch with your buyers and start relationships you can use to build trust and accelerate sales. B2B marketing expert Gabe Villamizar explains how to use LinkedIn for social selling. First, he discusses the importance of being selective with keywords, images, and messaging to ensure you have a buyer-centric LinkedIn profile. Next, he shows you how to use LinkedIn to research and find buyers in your target market. Then he explains how and when to take the conversation offline, and how to measure the success of your social selling efforts on LinkedIn using key metrics.",Course,2020-06-25 15:19 UTC,N/A,true,N/A,
The Practicing Photographer,"<p>In <i>The Practicing Photographer</i>, photographer and teacher Ben Long shares a weekly serving of photographic instruction and inspiration. Each installment focuses on a photographic shooting scenario, a piece of gear, or a software technique. Each one concludes with a call to action designed to inspire you to pick up your camera (or your mouse or smartphone) to try the technique for yourself.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-03-03 10:59 UTC,N/A,false,N/A,
SketchUp: Modeling from Photos,"Not sure which furniture will mesh with your living room design? With SketchUp, a 3D modeling program, you can take your architectural and material design ideas from your head to your screen. In this course, instructor Scott Onstott shows you how to use the free version of SketchUp to explore possible design scenarios using photos and 3D models. Scott explains how to match SketchUp's coordinate system to the perspective implied in multiple photographs, allowing you to use photos to create 3D models. He demonstrates how to model objects like fireplaces, windows, doors, and walls from photo models, alter photo textures in SketchUp and retouch them in Photoshop, and model new textured objects. He also illustrates how to use a combination of layers, scenes, and materials to explore design alternatives.",Course,2017-07-30 14:57 UTC,N/A,false,N/A,
Designing the Ultimate Man-Cave or She-Shed Design in SketchUp,"We all want a room to call our own. Personal structures like man caves and she sheds give you a hideaway from life stresses. Do you want a light and airy garden structure to curl up with a good book or to enjoy conversation with a friend, or would a lounge with a minibar where you can watch the game while working on your motorcycle be your idea of a good time? SketchUp, ""the easiest, most fun, entirely free 3D drawing tool in the world,"" is the perfect program to design your unique space. Join Scott Onstott in this course, as he shows how to model an existing structure like a garage and transform it into a personal sanctuary with SketchUp's intuitive 3D toolset. Discover how to model walls, doors, windows, furniture, and even a private bathroom, and finesse your design with lighting and shading.",Course,2020-04-23 23:11 UTC,N/A,false,N/A,
Nano Tips for Effortless Influence with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shows you how to exude effortless influence. She starts with outlining the basics of influence, followed by sharing key influence tactics—leveraging social proof, offering choices, and influencing with emotional intelligence. Shadé then takes it up a level with some pro-level influence techniques, explaining how to influence those with greater authority and how to sway skeptics.",Course,2024-08-05 08:52 UTC,N/A,false,N/A,
Selling with Empathy during Uncertain Times,"It's only natural that uncertain economic conditions create anxiety for salespeople and buyers alike. But a shift in your focus can help you quiet the fear and show up for customers when they need you most. Join Lisa McLeod as she helps you navigate selling in uncertain times. Lisa and her team have coached hundreds of sales professionals through economic turbulence, product launch failures, and other difficulties. In this course, she provides an empathetic, customer-centric approach to sales that will help you connect with customers, solve their most urgent problems, and identify the most authentic version of yourself. Use these tips to rise to the challenge and turn uncertain times into an opportunity to succeed.",Course,2021-02-01 08:04 UTC,N/A,false,N/A,
Gemba Kaizen: A Commonsense Approach to Continuous Improvement (Blinkist Summary),"<i>Gemba Kaizen</i> is an introduction to the Japanese business philosophy of Kaizen, a low-cost strategy that revolutionizes working standards to reduce waste and increase efficiency. Author Masaaki Imai reveals the aspects of Kaizen that are crucial to building lean business strategies. In this audio-only summary of Imai's popular book, you can explore the definition of Kaizen and the five Ss (5S) of workplace organization, discover the importance of flexible standards and self-discipline, and learn a visualization process for quicker troubleshooting and stronger employee motivation. Plus, find out why Kaizen is incomplete without strong leadership.

<br><br>Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=Gemba-Kaizen-A-Commonsense-Approach-to-Continuous-Improvement-Blinkist"" target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2021-03-11 23:59 UTC,N/A,false,N/A,
Microsoft Project 2013 Essential Training,"Follow along with author Bonnie Biafore as she shows you how to better manage your project's deadlines, tasks, and resources with Microsoft® Project 2013. This course covers setting up project files, creating tasks, assigning resources, working with views, and using baseline calculations to track progress.  Plus, learn how to report project information and share it with others.",Course,2017-02-04 03:37 UTC,N/A,false,N/A,
Material Requirements Planning (MRP) Strategies in SAP,"Discover how to calculate the materials required for product manufacturing with greater accuracy and speed within SAP. The SAP ERP tool has many different material requirements planning (MRP) strategies that are preconfigured and ready to implement; you just need to learn how to choose the right one. This course guides you through the configuration options and business processes behind the make-to-stock (MTS), make-to-order (MTO), and component-level MRP strategies. You can also explore a hybrid strategy for multi-use materials, for use with components in production and spare parts. Once you have completed this course, you should be able to pair the right material requirements planning strategy for every possible business scenario.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2021-12-24 08:51 UTC,N/A,false,N/A,
Accounting Foundations: Budgeting (2015),"Growing companies don't have a long history to guide management decisions. But they can't go on reacting to one crisis after another without a plan. Such companies need to harness the power of budgeting to identify and solve problems on paper before they arise in the real world.<br><br>

This course covers purchase budgets, production budgets, hiring budgets, overhead budgets, and cash budgets. Professors Jim and Kay Stice help you weigh the impact of strict versus more moderate budgeting on employee morale, and show how budgets pay off in the future, when you can use them to evaluate your business performance.",Course,2018-11-08 15:18 UTC,N/A,false,N/A,
Running a Profitable Business: Calculating Breakeven,"<p>Starting a business can be pricey. Breakeven analysis and cost-volume-profit analysis will help you understand when—and if—your business will start to recover those costs and begin making a profit. Understanding your breakeven point will help you to determine how much you need in revenue to keep your business going. Accounting professors Jim and Kay Stice walk through the breakeven equation, and cover types of costs, contribution margin, breakeven point, and net income. They also explain what each term means, and the importance of each, and offer examples from popular real-world companies. </p><p>Want to learn more? Learn about three types of accounting—financial, managerial, and income tax—in their <i>Accounting Foundations</i> course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/finance-for-managers-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2018-05-01 03:56 UTC,N/A,false,N/A,
Neural Networks and Convolutional Neural Networks Essential Training,"Take a deep dive into neural networks and convolutional neural networks, two key concepts in the area of machine learning. In this hands-on course, instructor Jonathan Fernandes covers fundamental neural and convolutional neural network concepts. Jonathan begins by providing an introduction to the components of neural networks, discussing activation functions and backpropagation. He then looks at convolutional neural networks, explaining why they're particularly good at image recognition tasks. He also steps through how to build a neural network model using Keras. Plus, learn about VGG16, the history of the ImageNet challenge, and more.",Course,2022-07-14 12:28 UTC,N/A,false,N/A,
Creating a Keynote Presentation,"The keynote is a special speech. As the cornerstone of an event, these talks tend to be longer than traditional speeches, more entertaining than strictly educational, and delivered to large audiences. If you've been asked to deliver a keynote, then this course can help by showing you how to plot out and deliver a lively, impactful presentation that drives your message home. Join Todd Dewett as he spells out how to structure your keynote, craft a compelling story, use emotions to enhance your overall message, and prepare to deliver on the day of the event.",Course,2018-08-29 11:11 UTC,N/A,false,N/A,
How Blockchains Will Change Business,"Blockchains are poised to disrupt entrenched industries and shatter conventional business models. Train your brain to see the opportunities and challenges of this next wave of digital change, before the way we do business is again reshaped by new technology. This jargon-free course can help you get up to speed. Join Alison McCauley, the best-selling author of <i>Unblocked: How Blockchains Will Change Your Business (and What to Do about It)</i>, as she goes over what blockchains offer companies, as well as how this technology will impact everything from finance to HR.<br><br>Alison begins by explaining what blockchains accomplish, how they make it safer for everyone to work together, and where they do—and do not—deliver value. Then, she details the new tools that blockchains offer business, including how they can help you discern what's real from what's false in your digital world. Plus, learn how blockchains can impact different departments within your business, from finance to HR.",Course,2021-11-02 15:50 UTC,N/A,false,N/A,
Excel: You Can Do This,"Excel scares a lot of people. Terms like PivotTables, VLOOKUP, and circular references make their heads spin. But once you have a basic grounding in Excel, you can do all these things and more. Follow along with Excel MVP Oz du Soleil in this fast-paced course, as he walks you through features, functions, and commands such as Freeze Panes, Flash Fill, COUNTIFS, and even VLOOKUP. Oz takes the bite out of the most intimidating features in Excel, so you can get more mileage every time you use it.",Course,2020-11-17 22:16 UTC,N/A,false,N/A,
Construction Management: Managing Risk,"<p>Risk is an inherent part of construction and an integral part of the construction manager's job. Over the course of a project, you may have to manage compliance and safety issues, schedule and cost overruns, contract disputes, and more. To be successful, you need to understand the biggest risk factors faced on a job site and how to mitigate them. In this course, OSHA Authorized Outreach Trainer Jim Rogers explains the basics of risk management for construction. Learn how risk changes with the complexity of the project and the type of delivery method being employed. Review your role and the scope of the risk management process, from analysis to control. Along the way, review how technology can help you manage the challenges involved in daily activities using risk analysis and risk mitigation tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/procore-construction-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Procore.</p>",Course,2021-04-13 13:17 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:78,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:78,Course,2017-05-20 04:10 UTC,N/A,false,N/A,
